location,crowd_count,temperature,hour
Alopankari Temple Area,992,37,3
Saraswati Ghat,6610,14,7
Prayagraj Junction,5667,34,20
Triveni Sangam (Confluence Zone),13305,29,12
Triveni Sangam (Confluence Zone),12542,11,8
Dashashwamedh Ghat (Prayagraj),1786,38,3
Saraswati Ghat,577,13,0
Saraswati Ghat,1651,33,5
Shri Bade Hanuman Temple,6087,31,10
Shri Bade Hanuman Temple,5326,18,19
Shri Bade Hanuman Temple,3911,40,11
Prayagraj Junction,500,12,2
Prayagraj Junction,2333,24,17
Saraswati Ghat,4028,17,2
Kumbh Mela Ground (Main Venue),11343,39,12
Alopankari Temple Area,2487,37,7
Shri Bade Hanuman Temple,2993,33,4
Alopankari Temple Area,1472,37,4
Alopankari Temple Area,1846,20,4
Saraswati Ghat,5295,16,18
Saraswati Ghat,500,39,3
Shri Bade Hanuman Temple,4483,37,8
Shri Bade Hanuman Temple,1510,36,23
Kumbh Mela Ground (Main Venue),13046,20,16
Triveni Sangam (Confluence Zone),10229,15,10
Dashashwamedh Ghat (Prayagraj),841,42,21
Kumbh Mela Ground (Main Venue),10552,10,15
Prayagraj Junction,840,13,1
Shri Bade Hanuman Temple,3543,19,5
Saraswati Ghat,500,45,1
Triveni Sangam (Confluence Zone),7789,14,23
Alopankari Temple Area,586,33,22
Shri Bade Hanuman Temple,6189,20,4
Alopankari Temple Area,3448,19,7
Kumbh Mela Ground (Main Venue),11464,32,13
Triveni Sangam (Confluence Zone),7498,28,3
Saraswati Ghat,6656,14,15
Shri Bade Hanuman Temple,8819,19,11
Triveni Sangam (Confluence Zone),7843,32,1
Kumbh Mela Ground (Main Venue),8366,45,12
Shri Bade Hanuman Temple,8655,18,21
Dashashwamedh Ghat (Prayagraj),6054,11,10
Saraswati Ghat,5514,33,15
Alopankari Temple Area,2341,34,0
Kumbh Mela Ground (Main Venue),9158,44,12
Dashashwamedh Ghat (Prayagraj),4313,15,18
Saraswati Ghat,500,12,3
Shri Bade Hanuman Temple,8040,36,12
Dashashwamedh Ghat (Prayagraj),5636,27,10
Alopankari Temple Area,6056,31,6
Alopankari Temple Area,3096,31,0
Alopankari Temple Area,500,33,1
Prayagraj Junction,1120,23,5
Saraswati Ghat,3488,14,4
Shri Bade Hanuman Temple,7338,30,5
Shri Bade Hanuman Temple,8024,15,20
Alopankari Temple Area,500,41,1
Saraswati Ghat,4394,20,14
Alopankari Temple Area,2292,13,21
Prayagraj Junction,6369,33,21
Triveni Sangam (Confluence Zone),11676,11,15
Prayagraj Junction,2145,39,5
Kumbh Mela Ground (Main Venue),9160,39,13
Dashashwamedh Ghat (Prayagraj),850,44,21
Alopankari Temple Area,6704,31,18
Dashashwamedh Ghat (Prayagraj),2871,23,2
Shri Bade Hanuman Temple,4323,43,5
Shri Bade Hanuman Temple,5078,14,2
Shri Bade Hanuman Temple,5226,44,6
Saraswati Ghat,722,39,19
Triveni Sangam (Confluence Zone),6074,26,0
Triveni Sangam (Confluence Zone),5720,12,2
Saraswati Ghat,4172,35,12
Kumbh Mela Ground (Main Venue),12923,18,16
Shri Bade Hanuman Temple,5121,19,1
Triveni Sangam (Confluence Zone),14824,10,17
Prayagraj Junction,523,34,0
Prayagraj Junction,1833,30,0
Triveni Sangam (Confluence Zone),6900,33,4
Triveni Sangam (Confluence Zone),9354,11,17
Prayagraj Junction,2558,33,3
Saraswati Ghat,850,44,19
Triveni Sangam (Confluence Zone),14900,18,13
Kumbh Mela Ground (Main Venue),8588,13,16
Dashashwamedh Ghat (Prayagraj),4417,10,18
Kumbh Mela Ground (Main Venue),6799,11,7
Saraswati Ghat,4757,17,19
Triveni Sangam (Confluence Zone),13031,12,7
Shri Bade Hanuman Temple,5218,22,21
Kumbh Mela Ground (Main Venue),8137,38,9
Shri Bade Hanuman Temple,9063,31,19
Alopankari Temple Area,8298,27,16
Prayagraj Junction,846,40,22
Alopankari Temple Area,2201,14,19
Shri Bade Hanuman Temple,7232,32,17
Kumbh Mela Ground (Main Venue),9801,27,16
Alopankari Temple Area,4361,34,4
Shri Bade Hanuman Temple,8234,15,8
Triveni Sangam (Confluence Zone),10978,27,1
Alopankari Temple Area,3235,18,4
Shri Bade Hanuman Temple,7288,18,17
Prayagraj Junction,2429,37,22
Saraswati Ghat,7121,16,12
Prayagraj Junction,2505,43,13
Shri Bade Hanuman Temple,8217,20,9
Alopankari Temple Area,4123,13,1
Shri Bade Hanuman Temple,4243,42,19
Kumbh Mela Ground (Main Venue),7722,26,20
Shri Bade Hanuman Temple,6123,18,20
Kumbh Mela Ground (Main Venue),9864,29,9
Triveni Sangam (Confluence Zone),11845,15,7
Saraswati Ghat,2799,23,6
Dashashwamedh Ghat (Prayagraj),3573,34,19
Saraswati Ghat,3376,18,18
Saraswati Ghat,2778,32,7
Shri Bade Hanuman Temple,8630,27,18
Kumbh Mela Ground (Main Venue),8121,13,14
Alopankari Temple Area,500,36,4
Kumbh Mela Ground (Main Venue),6997,28,20
Triveni Sangam (Confluence Zone),7617,10,3
Kumbh Mela Ground (Main Venue),10382,12,7
Alopankari Temple Area,3109,38,10
Shri Bade Hanuman Temple,11861,31,16
Kumbh Mela Ground (Main Venue),9060,19,3
Prayagraj Junction,4586,26,15
Alopankari Temple Area,4261,38,9
Triveni Sangam (Confluence Zone),13648,42,15
Alopankari Temple Area,2584,24,9
Alopankari Temple Area,5135,31,13
Alopankari Temple Area,5783,10,14
Prayagraj Junction,2402,44,22
Dashashwamedh Ghat (Prayagraj),6481,12,17
Kumbh Mela Ground (Main Venue),6425,28,21
Saraswati Ghat,6609,24,6
Shri Bade Hanuman Temple,4776,28,1
Alopankari Temple Area,6921,20,11
Kumbh Mela Ground (Main Venue),11479,19,13
Prayagraj Junction,4382,18,7
Alopankari Temple Area,7539,10,16
Prayagraj Junction,6018,23,19
Triveni Sangam (Confluence Zone),7579,15,3
Saraswati Ghat,5534,18,7
Triveni Sangam (Confluence Zone),9664,23,3
Shri Bade Hanuman Temple,10136,34,13
Alopankari Temple Area,2258,11,22
Dashashwamedh Ghat (Prayagraj),5900,26,11
Dashashwamedh Ghat (Prayagraj),500,35,2
Prayagraj Junction,1927,30,1
Kumbh Mela Ground (Main Venue),8690,27,23
Saraswati Ghat,5134,31,11
Kumbh Mela Ground (Main Venue),7742,31,20
Kumbh Mela Ground (Main Venue),13958,28,14
Prayagraj Junction,5135,43,18
Alopankari Temple Area,4398,43,6
Shri Bade Hanuman Temple,7501,24,13
Dashashwamedh Ghat (Prayagraj),1387,16,3
Kumbh Mela Ground (Main Venue),4591,32,1
Saraswati Ghat,3915,18,19
Triveni Sangam (Confluence Zone),14773,12,17
Kumbh Mela Ground (Main Venue),6045,36,4
Kumbh Mela Ground (Main Venue),7511,23,2
Dashashwamedh Ghat (Prayagraj),8587,33,13
Dashashwamedh Ghat (Prayagraj),2232,44,3
Shri Bade Hanuman Temple,8853,21,17
Prayagraj Junction,1462,44,11
Prayagraj Junction,6708,13,11
Saraswati Ghat,4283,23,20
Kumbh Mela Ground (Main Venue),4531,45,22
Prayagraj Junction,1556,16,0
Alopankari Temple Area,2008,45,19
Saraswati Ghat,6367,41,15
Kumbh Mela Ground (Main Venue),9704,40,6
Saraswati Ghat,3385,41,9
Saraswati Ghat,500,42,1
Saraswati Ghat,1088,25,3
Prayagraj Junction,3199,28,10
Saraswati Ghat,2441,16,10
Kumbh Mela Ground (Main Venue),9154,34,6
Shri Bade Hanuman Temple,8623,20,17
Saraswati Ghat,3913,28,20
Shri Bade Hanuman Temple,7735,45,8
Triveni Sangam (Confluence Zone),13974,33,20
Saraswati Ghat,5719,14,12
Alopankari Temple Area,888,21,3
Alopankari Temple Area,5498,40,18
Shri Bade Hanuman Temple,7278,40,16
Triveni Sangam (Confluence Zone),12444,13,11
Kumbh Mela Ground (Main Venue),6197,14,6
Kumbh Mela Ground (Main Venue),8187,29,4
Saraswati Ghat,1854,41,17
Prayagraj Junction,6763,18,15
Alopankari Temple Area,3136,26,18
Shri Bade Hanuman Temple,11183,29,14
Alopankari Temple Area,555,21,1
Saraswati Ghat,4031,43,13
Prayagraj Junction,500,27,0
Triveni Sangam (Confluence Zone),10120,26,18
Kumbh Mela Ground (Main Venue),9664,13,21
Prayagraj Junction,4081,15,10
Dashashwamedh Ghat (Prayagraj),4439,39,9
Shri Bade Hanuman Temple,5236,13,10
Alopankari Temple Area,6390,32,11
Kumbh Mela Ground (Main Venue),7108,20,7
Shri Bade Hanuman Temple,6732,38,21
Prayagraj Junction,7289,30,14
Dashashwamedh Ghat (Prayagraj),2634,30,5
Dashashwamedh Ghat (Prayagraj),5391,43,8
Alopankari Temple Area,6091,25,9
Saraswati Ghat,5933,35,15
Kumbh Mela Ground (Main Venue),9082,31,19
Dashashwamedh Ghat (Prayagraj),1057,42,18
Shri Bade Hanuman Temple,6551,42,6
Alopankari Temple Area,6274,14,12
Shri Bade Hanuman Temple,8748,25,18
Triveni Sangam (Confluence Zone),13772,34,14
Saraswati Ghat,2443,25,1
Alopankari Temple Area,5006,22,18
Shri Bade Hanuman Temple,6792,16,7
Prayagraj Junction,4494,22,15
Shri Bade Hanuman Temple,3267,27,4
Dashashwamedh Ghat (Prayagraj),892,28,2
Dashashwamedh Ghat (Prayagraj),500,29,5
Triveni Sangam (Confluence Zone),8080,29,9
Alopankari Temple Area,4759,26,8
Prayagraj Junction,8467,30,15
Shri Bade Hanuman Temple,5959,41,7
Alopankari Temple Area,500,15,5
Saraswati Ghat,3371,10,3
Saraswati Ghat,2317,43,6
Shri Bade Hanuman Temple,3218,11,4
Dashashwamedh Ghat (Prayagraj),5836,14,10
Dashashwamedh Ghat (Prayagraj),3750,28,3
Saraswati Ghat,2779,11,2
Saraswati Ghat,1710,21,0
Shri Bade Hanuman Temple,7183,25,3
Alopankari Temple Area,3184,33,19
Kumbh Mela Ground (Main Venue),5797,27,3
Kumbh Mela Ground (Main Venue),13685,30,15
Triveni Sangam (Confluence Zone),16824,18,12
Alopankari Temple Area,6513,11,14
Prayagraj Junction,1697,29,4
Triveni Sangam (Confluence Zone),9042,44,2
Kumbh Mela Ground (Main Venue),4455,27,23
Alopankari Temple Area,6805,36,14
Saraswati Ghat,4601,38,14
Dashashwamedh Ghat (Prayagraj),6356,30,6
Kumbh Mela Ground (Main Venue),5422,37,2
Shri Bade Hanuman Temple,5849,28,7
Dashashwamedh Ghat (Prayagraj),5173,12,16
Alopankari Temple Area,4413,22,15
Prayagraj Junction,3865,24,23
Shri Bade Hanuman Temple,9340,16,10
Shri Bade Hanuman Temple,3833,14,2
Saraswati Ghat,1566,44,21
Alopankari Temple Area,6863,43,14
Alopankari Temple Area,605,40,20
Alopankari Temple Area,6032,12,19
Kumbh Mela Ground (Main Venue),9796,13,14
Saraswati Ghat,3700,19,18
Dashashwamedh Ghat (Prayagraj),4127,33,5
Triveni Sangam (Confluence Zone),8975,19,5
Saraswati Ghat,4614,18,20
Shri Bade Hanuman Temple,5356,18,9
Prayagraj Junction,2451,28,19
Kumbh Mela Ground (Main Venue),9445,41,10
Shri Bade Hanuman Temple,9714,23,19
Prayagraj Junction,4275,24,16
Alopankari Temple Area,1205,37,22
Saraswati Ghat,2222,22,0
Kumbh Mela Ground (Main Venue),9141,39,12
Prayagraj Junction,3603,33,20
Saraswati Ghat,4508,31,19
Triveni Sangam (Confluence Zone),13373,35,15
Kumbh Mela Ground (Main Venue),10045,31,21
Saraswati Ghat,6067,35,10
Kumbh Mela Ground (Main Venue),4834,44,9
Prayagraj Junction,7691,27,14
Shri Bade Hanuman Temple,7397,10,2
Kumbh Mela Ground (Main Venue),8636,23,3
Prayagraj Junction,1826,45,19
Saraswati Ghat,5600,39,15
Alopankari Temple Area,500,40,3
Saraswati Ghat,2017,23,7
Shri Bade Hanuman Temple,4220,37,3
Kumbh Mela Ground (Main Venue),5918,41,10
Prayagraj Junction,691,36,21
Triveni Sangam (Confluence Zone),9136,34,11
Dashashwamedh Ghat (Prayagraj),5972,12,6
Saraswati Ghat,647,45,20
Shri Bade Hanuman Temple,7214,31,21
Triveni Sangam (Confluence Zone),7358,35,22
Triveni Sangam (Confluence Zone),7309,43,23
Prayagraj Junction,3811,23,17
Dashashwamedh Ghat (Prayagraj),6129,14,12
Saraswati Ghat,8998,24,13
Shri Bade Hanuman Temple,8174,16,21
Dashashwamedh Ghat (Prayagraj),3584,10,23
Prayagraj Junction,2007,24,21
Kumbh Mela Ground (Main Venue),6555,27,19
Kumbh Mela Ground (Main Venue),8842,15,1
Triveni Sangam (Confluence Zone),14308,28,16
Shri Bade Hanuman Temple,6473,18,7
Dashashwamedh Ghat (Prayagraj),6060,32,21
Alopankari Temple Area,2560,29,11
Alopankari Temple Area,500,37,4
Triveni Sangam (Confluence Zone),16609,18,16
Kumbh Mela Ground (Main Venue),3987,33,23
Prayagraj Junction,6276,10,9
Alopankari Temple Area,4675,17,17
Shri Bade Hanuman Temple,8843,32,16
Saraswati Ghat,500,15,3
Kumbh Mela Ground (Main Venue),9942,38,13
Alopankari Temple Area,2950,35,10
Dashashwamedh Ghat (Prayagraj),500,45,1
Prayagraj Junction,4292,28,4
Kumbh Mela Ground (Main Venue),9530,15,6
Shri Bade Hanuman Temple,6942,19,4
Saraswati Ghat,2136,14,19
Saraswati Ghat,5219,19,9
Kumbh Mela Ground (Main Venue),5166,19,5
Shri Bade Hanuman Temple,8686,23,16
Kumbh Mela Ground (Main Venue),6688,26,21
Saraswati Ghat,1455,41,7
Shri Bade Hanuman Temple,5528,29,9
Triveni Sangam (Confluence Zone),7229,22,5
Prayagraj Junction,3821,41,6
Alopankari Temple Area,8306,34,16
Shri Bade Hanuman Temple,11053,18,12
Shri Bade Hanuman Temple,7309,21,0
Shri Bade Hanuman Temple,9404,38,12
Saraswati Ghat,4877,18,12
Triveni Sangam (Confluence Zone),12294,24,9
Alopankari Temple Area,500,40,22
Triveni Sangam (Confluence Zone),8353,43,17
Saraswati Ghat,4524,45,6
Triveni Sangam (Confluence Zone),11130,12,14
Triveni Sangam (Confluence Zone),6005,14,1
Kumbh Mela Ground (Main Venue),4341,17,3
Alopankari Temple Area,6646,36,13
Shri Bade Hanuman Temple,7013,21,7
Triveni Sangam (Confluence Zone),8547,18,21
Alopankari Temple Area,6996,21,21
Alopankari Temple Area,2885,38,2
Shri Bade Hanuman Temple,6522,19,19
Triveni Sangam (Confluence Zone),13660,45,16
Prayagraj Junction,3956,25,0
Alopankari Temple Area,1453,41,0
Saraswati Ghat,2922,23,1
Shri Bade Hanuman Temple,8721,25,15
Prayagraj Junction,5262,31,7
Prayagraj Junction,4985,35,13
Kumbh Mela Ground (Main Venue),9023,10,8
Alopankari Temple Area,2782,29,1
Dashashwamedh Ghat (Prayagraj),2741,23,8
Kumbh Mela Ground (Main Venue),11261,29,11
Kumbh Mela Ground (Main Venue),9169,21,0
Prayagraj Junction,5762,39,16
Prayagraj Junction,2112,14,20
Prayagraj Junction,4094,27,7
Kumbh Mela Ground (Main Venue),6731,32,21
Dashashwamedh Ghat (Prayagraj),5232,39,16
Dashashwamedh Ghat (Prayagraj),748,32,1
Dashashwamedh Ghat (Prayagraj),6286,27,13
Triveni Sangam (Confluence Zone),15924,31,15
Alopankari Temple Area,4401,18,17
Prayagraj Junction,3011,30,5
Dashashwamedh Ghat (Prayagraj),4780,26,15
Saraswati Ghat,1861,39,2
Shri Bade Hanuman Temple,11166,28,13
Triveni Sangam (Confluence Zone),12405,11,18
Triveni Sangam (Confluence Zone),11857,16,22
Kumbh Mela Ground (Main Venue),9519,17,11
Alopankari Temple Area,500,29,23
Saraswati Ghat,2557,34,20
Dashashwamedh Ghat (Prayagraj),500,15,1
Dashashwamedh Ghat (Prayagraj),500,45,3
Shri Bade Hanuman Temple,4024,17,0
Saraswati Ghat,3466,41,20
Alopankari Temple Area,2206,15,6
Kumbh Mela Ground (Main Venue),11659,22,7
Prayagraj Junction,500,32,3
Saraswati Ghat,4582,21,19
Dashashwamedh Ghat (Prayagraj),4896,33,12
Shri Bade Hanuman Temple,11573,18,12
Dashashwamedh Ghat (Prayagraj),8035,30,14
Saraswati Ghat,5269,26,13
Alopankari Temple Area,4655,45,21
Prayagraj Junction,3402,36,15
Alopankari Temple Area,1949,37,6
Saraswati Ghat,8282,12,13
Saraswati Ghat,1349,41,1
Alopankari Temple Area,2249,12,2
Saraswati Ghat,5256,38,20
Prayagraj Junction,5021,17,12
Alopankari Temple Area,1888,44,9
Prayagraj Junction,5096,16,20
Prayagraj Junction,5861,17,14
Saraswati Ghat,6273,15,9
Kumbh Mela Ground (Main Venue),7422,19,7
Alopankari Temple Area,8373,20,15
Alopankari Temple Area,5050,17,13
Shri Bade Hanuman Temple,6493,36,11
Alopankari Temple Area,5403,40,13
Prayagraj Junction,5678,35,12
Alopankari Temple Area,5713,35,6
Triveni Sangam (Confluence Zone),13023,13,21
Saraswati Ghat,2203,16,21
Prayagraj Junction,5203,22,9
Alopankari Temple Area,6300,10,11
Shri Bade Hanuman Temple,2876,15,23
Saraswati Ghat,5703,27,19
Saraswati Ghat,2294,22,5
Saraswati Ghat,500,39,23
Alopankari Temple Area,4335,27,7
Dashashwamedh Ghat (Prayagraj),6720,23,17
Kumbh Mela Ground (Main Venue),12131,43,12
Kumbh Mela Ground (Main Venue),8640,34,8
Shri Bade Hanuman Temple,2904,36,4
Shri Bade Hanuman Temple,5057,28,2
Triveni Sangam (Confluence Zone),5284,45,22
Saraswati Ghat,1788,14,0
Shri Bade Hanuman Temple,2472,36,3
Dashashwamedh Ghat (Prayagraj),500,37,22
Prayagraj Junction,6342,18,14
Triveni Sangam (Confluence Zone),10911,36,15
Kumbh Mela Ground (Main Venue),8546,17,16
Triveni Sangam (Confluence Zone),10704,17,7
Kumbh Mela Ground (Main Venue),8502,30,19
Alopankari Temple Area,4135,29,9
Kumbh Mela Ground (Main Venue),8488,45,6
Alopankari Temple Area,5298,22,18
Triveni Sangam (Confluence Zone),11578,41,20
Shri Bade Hanuman Temple,3056,19,0
Triveni Sangam (Confluence Zone),11888,34,18
Saraswati Ghat,6838,29,20
Saraswati Ghat,2067,45,20
Shri Bade Hanuman Temple,6498,35,17
Prayagraj Junction,4318,15,2
Prayagraj Junction,500,44,5
Prayagraj Junction,4094,17,17
Kumbh Mela Ground (Main Venue),5434,41,8
Dashashwamedh Ghat (Prayagraj),6411,22,16
Kumbh Mela Ground (Main Venue),5738,44,19
Saraswati Ghat,7244,31,13
Kumbh Mela Ground (Main Venue),3657,35,3
Triveni Sangam (Confluence Zone),12581,33,17
Triveni Sangam (Confluence Zone),15420,16,14
Dashashwamedh Ghat (Prayagraj),7182,31,14
Saraswati Ghat,4424,15,3
Dashashwamedh Ghat (Prayagraj),3821,40,6
Kumbh Mela Ground (Main Venue),13841,12,16
Prayagraj Junction,2173,36,21
Alopankari Temple Area,8496,30,16
Kumbh Mela Ground (Main Venue),5943,25,5
Alopankari Temple Area,2234,44,5
Triveni Sangam (Confluence Zone),10782,37,10
Dashashwamedh Ghat (Prayagraj),5912,17,13
Shri Bade Hanuman Temple,9272,32,15
Triveni Sangam (Confluence Zone),7021,42,8
Dashashwamedh Ghat (Prayagraj),4423,10,3
Alopankari Temple Area,4676,24,6
Prayagraj Junction,3986,19,9
Kumbh Mela Ground (Main Venue),6044,30,22
Triveni Sangam (Confluence Zone),5700,12,4
Triveni Sangam (Confluence Zone),12240,31,5
Dashashwamedh Ghat (Prayagraj),2607,19,21
Dashashwamedh Ghat (Prayagraj),500,36,23
Prayagraj Junction,500,43,5
Shri Bade Hanuman Temple,7246,43,14
Kumbh Mela Ground (Main Venue),6150,42,18
Prayagraj Junction,5901,32,20
Kumbh Mela Ground (Main Venue),8425,42,7
Alopankari Temple Area,1639,30,5
Shri Bade Hanuman Temple,8153,22,16
Dashashwamedh Ghat (Prayagraj),500,21,2
Saraswati Ghat,1165,40,21
Triveni Sangam (Confluence Zone),12947,43,11
Prayagraj Junction,6533,19,12
Triveni Sangam (Confluence Zone),8707,32,8
Alopankari Temple Area,4367,30,11
Shri Bade Hanuman Temple,10290,14,14
Shri Bade Hanuman Temple,6623,13,22
Shri Bade Hanuman Temple,6362,28,1
Dashashwamedh Ghat (Prayagraj),4593,15,17
Alopankari Temple Area,4109,18,4
Alopankari Temple Area,1827,40,18
Prayagraj Junction,2750,25,11
Prayagraj Junction,4910,21,7
Shri Bade Hanuman Temple,7331,25,14
Alopankari Temple Area,3221,30,23
Kumbh Mela Ground (Main Venue),10350,43,7
Prayagraj Junction,6239,39,15
Alopankari Temple Area,6164,40,16
Saraswati Ghat,500,18,2
Kumbh Mela Ground (Main Venue),7889,11,3
Kumbh Mela Ground (Main Venue),4937,26,2
Kumbh Mela Ground (Main Venue),11140,43,16
Alopankari Temple Area,555,10,3
Dashashwamedh Ghat (Prayagraj),500,41,3
Alopankari Temple Area,988,29,3
Saraswati Ghat,8170,27,13
Alopankari Temple Area,6305,45,16
Triveni Sangam (Confluence Zone),8104,12,10
Prayagraj Junction,2607,38,9
Saraswati Ghat,3936,25,18
Triveni Sangam (Confluence Zone),13051,32,17
Saraswati Ghat,2491,36,4
Prayagraj Junction,615,36,19
Kumbh Mela Ground (Main Venue),7460,22,6
Saraswati Ghat,4819,42,21
Shri Bade Hanuman Temple,7098,24,17
Shri Bade Hanuman Temple,10140,27,12
Shri Bade Hanuman Temple,8966,35,11
Shri Bade Hanuman Temple,6121,39,17
Shri Bade Hanuman Temple,11134,18,13
Saraswati Ghat,2541,42,9
Shri Bade Hanuman Temple,8067,42,11
Dashashwamedh Ghat (Prayagraj),5652,27,15
Dashashwamedh Ghat (Prayagraj),500,42,4
Dashashwamedh Ghat (Prayagraj),2796,17,10
Shri Bade Hanuman Temple,5548,42,13
Triveni Sangam (Confluence Zone),14800,26,8
Prayagraj Junction,500,13,4
Dashashwamedh Ghat (Prayagraj),3203,45,19
Triveni Sangam (Confluence Zone),10954,38,17
Kumbh Mela Ground (Main Venue),5735,38,9
Dashashwamedh Ghat (Prayagraj),3758,21,17
Prayagraj Junction,2979,20,18
Shri Bade Hanuman Temple,8397,26,14
Alopankari Temple Area,2497,27,4
Dashashwamedh Ghat (Prayagraj),2890,32,17
Saraswati Ghat,5957,21,21
Dashashwamedh Ghat (Prayagraj),1576,37,0
Saraswati Ghat,5123,30,14
Shri Bade Hanuman Temple,9647,45,16
Kumbh Mela Ground (Main Venue),5523,36,19
Dashashwamedh Ghat (Prayagraj),4891,19,7
Alopankari Temple Area,6333,24,6
Saraswati Ghat,5022,38,15
Kumbh Mela Ground (Main Venue),7126,25,7
Kumbh Mela Ground (Main Venue),10399,27,8
Saraswati Ghat,5941,13,13
Saraswati Ghat,7418,26,15
Saraswati Ghat,771,32,1
Alopankari Temple Area,6941,35,9
Dashashwamedh Ghat (Prayagraj),500,15,3
Triveni Sangam (Confluence Zone),12596,31,14
Alopankari Temple Area,2743,30,3
Saraswati Ghat,4632,23,7
Saraswati Ghat,1946,36,20
Alopankari Temple Area,724,45,6
Prayagraj Junction,4023,39,7
Kumbh Mela Ground (Main Venue),8136,26,10
Prayagraj Junction,500,43,2
Saraswati Ghat,4606,19,13
Alopankari Temple Area,4132,24,0
Saraswati Ghat,3300,21,1
Triveni Sangam (Confluence Zone),11468,33,7
Dashashwamedh Ghat (Prayagraj),2333,28,5
Prayagraj Junction,1620,29,3
Kumbh Mela Ground (Main Venue),9930,39,12
Dashashwamedh Ghat (Prayagraj),8086,12,12
Triveni Sangam (Confluence Zone),9995,34,8
Kumbh Mela Ground (Main Venue),9735,34,8
Shri Bade Hanuman Temple,6899,18,6
Alopankari Temple Area,6801,18,11
Saraswati Ghat,3518,41,19
Saraswati Ghat,3955,41,16
Kumbh Mela Ground (Main Venue),4319,35,3
Prayagraj Junction,2770,44,1
Saraswati Ghat,1805,27,0
Triveni Sangam (Confluence Zone),9379,35,18
Alopankari Temple Area,500,41,22
Alopankari Temple Area,4830,25,7
Alopankari Temple Area,3838,26,19
Dashashwamedh Ghat (Prayagraj),500,28,1
Dashashwamedh Ghat (Prayagraj),2763,38,4
Prayagraj Junction,3121,35,1
Kumbh Mela Ground (Main Venue),8877,41,15
Shri Bade Hanuman Temple,5654,26,11
Shri Bade Hanuman Temple,2059,39,1
Saraswati Ghat,2766,42,16
Kumbh Mela Ground (Main Venue),7015,16,11
Saraswati Ghat,2896,17,17
Dashashwamedh Ghat (Prayagraj),1009,18,3
Prayagraj Junction,2500,37,2
Kumbh Mela Ground (Main Venue),2500,43,1
Kumbh Mela Ground (Main Venue),9841,42,9
Dashashwamedh Ghat (Prayagraj),6653,25,13
Triveni Sangam (Confluence Zone),10466,21,15
Prayagraj Junction,5057,19,20
Saraswati Ghat,6522,11,21
Prayagraj Junction,3142,12,23
Dashashwamedh Ghat (Prayagraj),4256,26,23
Prayagraj Junction,3768,37,13
Saraswati Ghat,5318,17,20
Prayagraj Junction,5048,19,7
Dashashwamedh Ghat (Prayagraj),500,44,22
Alopankari Temple Area,1651,29,5
Prayagraj Junction,5035,28,15
Shri Bade Hanuman Temple,4673,14,23
Alopankari Temple Area,2535,38,21
Shri Bade Hanuman Temple,6099,27,0
Alopankari Temple Area,4329,18,17
Saraswati Ghat,2676,24,6
Saraswati Ghat,1705,39,23
Alopankari Temple Area,4102,36,15
Shri Bade Hanuman Temple,6825,10,10
Shri Bade Hanuman Temple,9360,12,20
Kumbh Mela Ground (Main Venue),8200,20,16
Alopankari Temple Area,1536,39,17
Saraswati Ghat,5209,44,17
Alopankari Temple Area,2025,19,5
Shri Bade Hanuman Temple,5062,40,10
Dashashwamedh Ghat (Prayagraj),687,40,1
Kumbh Mela Ground (Main Venue),6740,43,1
Dashashwamedh Ghat (Prayagraj),3233,24,19
Kumbh Mela Ground (Main Venue),11530,24,21
Triveni Sangam (Confluence Zone),13326,39,18
Prayagraj Junction,2826,13,0
Kumbh Mela Ground (Main Venue),9129,34,7
Triveni Sangam (Confluence Zone),8610,12,5
Saraswati Ghat,500,11,5
Triveni Sangam (Confluence Zone),11718,24,4
Alopankari Temple Area,4400,32,12
Dashashwamedh Ghat (Prayagraj),4210,19,4
Prayagraj Junction,6586,31,13
Saraswati Ghat,2854,12,22
Alopankari Temple Area,4042,33,21
Alopankari Temple Area,2501,18,17
Alopankari Temple Area,5669,20,9
Shri Bade Hanuman Temple,9933,36,15
Saraswati Ghat,500,21,3
Shri Bade Hanuman Temple,1736,37,0
Kumbh Mela Ground (Main Venue),6967,28,1
Dashashwamedh Ghat (Prayagraj),2778,14,0
Saraswati Ghat,500,26,4
Prayagraj Junction,577,43,10
Prayagraj Junction,5370,27,9
Shri Bade Hanuman Temple,7705,42,9
Kumbh Mela Ground (Main Venue),9653,21,10
Alopankari Temple Area,7415,13,14
Saraswati Ghat,3951,14,2
Saraswati Ghat,3405,44,14
Alopankari Temple Area,5270,28,8
Triveni Sangam (Confluence Zone),14571,32,18
Prayagraj Junction,500,24,5
Alopankari Temple Area,6680,34,10
Shri Bade Hanuman Temple,7128,15,8
Alopankari Temple Area,500,31,3
Prayagraj Junction,2089,12,8
Prayagraj Junction,2959,28,22
Shri Bade Hanuman Temple,7802,37,16
Shri Bade Hanuman Temple,1841,41,22
Prayagraj Junction,1965,42,19
Kumbh Mela Ground (Main Venue),7672,11,3
Kumbh Mela Ground (Main Venue),11206,17,6
Kumbh Mela Ground (Main Venue),6649,31,18
Alopankari Temple Area,1924,41,10
Alopankari Temple Area,3605,36,21
Prayagraj Junction,6098,32,6
Saraswati Ghat,500,38,3
Triveni Sangam (Confluence Zone),14217,25,6
Triveni Sangam (Confluence Zone),7508,45,5
Shri Bade Hanuman Temple,2782,11,1
Shri Bade Hanuman Temple,8779,11,15
Triveni Sangam (Confluence Zone),12451,37,16
